40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,0,0,0,0,0,0,0,0,0,0,40008,40008,40008,40008,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,0,0,0,0,0,0,0,0,0,0,20308,40008,40008,20408,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,0,20106,21906-26:53,0,0,0,22306-31:53,40006,0,0,40008,40008,40008,40008,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,0,40006-26:53,40006,0,0,0,40006-31:53,40006,0,0,40008-35:54&38:54,40008,40008,40008,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,0,0,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,20214,20214,20214,20214,20214,22514,0,0,40007,40007,40007,30013,0,0,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,0,0,0,0,0,0,0,0,21807-33:48,40007,40007,30013,0,0,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,0,20114,20114,22914,20114,20114,20114,0,0,20807-33:48,40007,40007,30013,0,0,0,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010,40010
40010,40010,40010,30013,40010,40010,40010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,30013,0,0,0,0,0,0,0,30013,0,0,0,10200,30013,40006,21906-51:46,0,0,0,0
40010,40010,40011,30013,40010,0,0,0,0,0,0,0,30001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30001,0,40007,20107,40007,30013,0,0,0,0,30001,0,0,30013,0,0,0,0,30013,40006-51:46,20206,0,0,0,0
