40010,40010,30013,30013,30013,30013,30013,30013,30013,0,40015,40015,40015,0,30013,0,30001,0,0,0,0,0,0,0
40010,40005-2:13,40005-2:13,40005-2:13,0,30002,0,0,30013,0,40015,40015,40015,0,30013,0,0,0,0,30001,0,40007,40007,40007
40010,40005-2:13,20205-2:13,40005-2:13,0,0,40006,20406,30013,0,0,0,0,0,30013,40006,20406,0,20306,40006,0,20307,40007,40007
40010,0,0,0,30002,0,40006-7:13,40006,30013,0,0,20414,0,20314,30013,40006-16:13,40006,0,40006-18:13,40006,0,40007-21:13&22:14,40007,40007
40010,40005-2:11,20105-2:11,40005-2:11,30013,30013,30013,30013,30013,0,0,20414,0,20314,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013
40010,40005-2:11,40005-2:11,40005-2:11,30013,0,0,0,30001,0,0,20414,0,20314,30013,40006,20406,0,0,0,0,40006,20406,0
40010,40005-2:8,40005-2:8,40005-2:8,30013,40006,20406,0,0,0,0,20414,0,20314,30013,40006-16:10,40006,0,0,0,0,40006-22:10,40006,0
40010,40005-2:8,20205-2:8,40005-2:8,30013,40006-6:9,40006,0,30001,0,0,20214,20214,20214,30013,0,30001,0,0,30001,0,0,0,0
40010,0,0,30002,30013,30013,30013,30013,30013,0,0,0,0,0,30013,0,0,0,0,0,0,0,0,30001
40010,40005-2:5,40005-2:5,40005-2:5,0,40006,40006,0,30013,20114,20114,20114,20114,20114,30013,0,40007,20107,40007,0,0,0,0,0
40010,40005-2:5,20205-2:5,40005-2:5,0,20306-5:5,40006,0,30013,30013,30013,30013,30013,30013,30013,0,40007,40007,20407,0,20306,40006,0,0
40010,30002,0,30001,0,0,0,30001,30013,40011,0,0,0,0,0,0,40007-17:6&18:5,40007,40007,0,40006-20:5,40006,0,0
40010,40005-2:2,40005-2:2,40005-2:2,0,40006,20406,0,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013,30013
30002,40005-2:2,20205-2:2,40005-2:2,0,40006-6:3,40006,0,30013,0,30001,20214,20214,20214,20214,20214,20214,0,30001,0,40005-21:1,40005-21:1,40005-21:1,40010
0,0,0,0,0,30001,0,0,30013,0,0,0,0,0,0,0,0,0,0,0,40005-21:1,20205-21:1,40005-21:1,40010
0,30001,0,0,0,0,10500,0,30013,40011,0,20114,20114,20114,20114,20114,20114,10500,0,0,0,0,40010,40010
